surrogate key,date,month,year
200,2020-07-27,7,2020
201,2020-07-28,7,2020
202,2020-07-30,7,2020
203,2020-07-30,7,2020
204,2020-08-01,8,2020
205,2020-08-02,8,2020
206,2020-08-02,8,2020
207,2020-08-03,8,2020
208,2020-08-04,8,2020
209,2020-08-05,8,2020
210,2020-08-05,8,2020
211,2020-08-06,8,2020
212,2020-08-06,8,2020
213,2020-08-09,8,2020
214,2020-08-10,8,2020
215,2020-08-12,8,2020
216,2020-08-13,8,2020
217,2020-08-17,8,2020
218,2020-08-18,8,2020
219,2020-08-19,8,2020
220,2020-08-20,8,2020
221,2020-08-20,8,2020
222,2020-08-21,8,2020
223,2020-08-23,8,2020
224,2020-08-24,8,2020
225,2020-08-25,8,2020
226,2020-08-30,8,2020
227,2020-08-31,8,2020
228,2020-08-31,8,2020
229,2020-09-01,9,2020
230,2020-09-02,9,2020
231,2020-09-03,9,2020
232,2020-09-03,9,2020
233,2020-09-03,9,2020
234,2020-09-03,9,2020
235,2020-09-04,9,2020
236,2020-09-08,9,2020
237,2020-09-12,9,2020
238,2020-09-13,9,2020
239,2020-09-14,9,2020
240,2020-09-14,9,2020
241,2020-09-15,9,2020
242,2020-09-16,9,2020
243,2020-09-18,9,2020
244,2020-09-20,9,2020
245,2020-09-21,9,2020
246,2020-09-21,9,2020
247,2020-09-22,9,2020
248,2020-09-22,9,2020
249,2020-09-23,9,2020
250,2020-09-24,9,2020
251,2020-09-25,9,2020
252,2020-09-25,9,2020
253,2020-09-26,9,2020
254,2020-09-30,9,2020
255,2020-10-01,10,2020
256,2020-10-03,10,2020
257,2020-10-07,10,2020
258,2020-10-09,10,2020
259,2020-10-09,10,2020
260,2020-10-11,10,2020
261,2020-10-11,10,2020
262,2020-10-16,10,2020
263,2020-10-16,10,2020
264,2020-10-18,10,2020
265,2020-10-19,10,2020
266,2020-10-20,10,2020
267,2020-10-22,10,2020
268,2020-10-24,10,2020
269,2020-10-24,10,2020
270,2020-10-25,10,2020
271,2020-10-27,10,2020
272,2020-10-28,10,2020
273,2020-10-28,10,2020
274,2020-10-30,10,2020
275,2020-11-01,11,2020
276,2020-11-01,11,2020
277,2020-11-02,11,2020
278,2020-11-05,11,2020
279,2020-11-06,11,2020
280,2020-11-06,11,2020
281,2020-11-07,11,2020
282,2020-11-09,11,2020
283,2020-11-09,11,2020
284,2020-11-10,11,2020
285,2020-11-11,11,2020
286,2020-11-11,11,2020
287,2020-11-12,11,2020
288,2020-11-13,11,2020
289,2020-11-13,11,2020
290,2020-11-15,11,2020
291,2020-11-16,11,2020
292,2020-11-16,11,2020
293,2020-11-17,11,2020
294,2020-11-18,11,2020
295,2020-11-18,11,2020
296,2020-11-19,11,2020
297,2020-11-20,11,2020
298,2020-11-20,11,2020
299,2020-11-23,11,2020
300,2020-11-23,11,2020
301,2020-11-26,11,2020
302,2020-11-26,11,2020
303,2020-11-28,11,2020
304,2020-11-30,11,2020
305,2020-12-01,12,2020
306,2020-12-02,12,2020
307,2020-12-02,12,2020
308,2020-12-03,12,2020
309,2020-12-04,12,2020
310,2020-12-04,12,2020
311,2020-12-05,12,2020
312,2020-12-06,12,2020
313,2020-12-08,12,2020
314,2020-12-08,12,2020
315,2020-12-08,12,2020
316,2020-12-09,12,2020
317,2020-12-12,12,2020
318,2020-12-12,12,2020
319,2020-12-12,12,2020
320,2020-12-14,12,2020
321,2020-12-14,12,2020
322,2020-12-15,12,2020
323,2020-12-15,12,2020
324,2020-12-16,12,2020
325,2020-12-16,12,2020
326,2020-12-17,12,2020
327,2020-12-18,12,2020
328,2020-12-20,12,2020
329,2020-12-20,12,2020
330,2020-12-22,12,2020
331,2020-12-24,12,2020
332,2020-12-25,12,2020
333,2020-12-26,12,2020
334,2020-12-28,12,2020
335,2020-12-29,12,2020
336,2020-12-29,12,2020
337,2020-12-30,12,2020
338,2020-12-30,12,2020
339,2020-12-30,12,2020
340,2021-01-04,1,2021
341,2021-01-04,1,2021
342,2021-01-06,1,2021
343,2021-01-07,1,2021
344,2021-01-07,1,2021
345,2021-01-07,1,2021
346,2021-01-09,1,2021
347,2021-01-10,1,2021
348,2021-01-13,1,2021
349,2021-01-13,1,2021
350,2021-01-13,1,2021
351,2021-01-15,1,2021
352,2021-01-15,1,2021
353,2021-01-16,1,2021
354,2021-01-18,1,2021
355,2021-01-18,1,2021
356,2021-01-19,1,2021
357,2021-01-20,1,2021
358,2021-01-20,1,2021
359,2021-01-20,1,2021
360,2021-01-22,1,2021
361,2021-01-22,1,2021
362,2021-01-22,1,2021
363,2021-01-22,1,2021
364,2021-01-24,1,2021
365,2021-01-24,1,2021
